swadesh.language,swadesh.english,HScollapsed,poabodypartmerge,swadesh.twohands,swadesh.pmv
Portuguese,short,y4,Lateral,true,X_left
Portuguese,singing,y4,Hand,false,X_left
Portuguese,sister,n1,Head,false,Y_down
Portuguese,sit,n2,Hand,false,Y_down
Portuguese,smooth,n4,Hand,false,Z_front
Portuguese,snake,n2,Head,false,Z_front
Portuguese,snow,y4,Head,false,Y_down
Portuguese,stand,n2,Hand,false,Y_down
Portuguese,star,y1,Lateral,true,Y_up
Portuguese,stone,y1,Head,false,UNDEF
Portuguese,string,n1,Head,false,X_right
Portuguese,sun,y1,Lateral,false,X_left
Portuguese,tail,y4,Head,false,UNDEF
Portuguese,thin,n1,Vertical,false,Y_down
Portuguese,tree,y4,Head,false,Z_back
Portuguese,vomit,y4,Head,false,Y_up
Portuguese,warm,y4,Head,false,UNDEF
Portuguese,water,y0,Head,false,Z_back
Portuguese,wet,y0,Head,false,Z_back
Portuguese,what,n1,Horizontal,true,UNDEF
Portuguese,when,y4,Vertical,false,UNDEF
Portuguese,where,y0,Head,false,Z_back
Portuguese,white,y4,Head,false,UNDEF
Portuguese,who,y1,Head,false,Z_front
Portuguese,wide,y4,Lateral,true,X_right
Portuguese,wife,n1,Head,false,Y_down
Portuguese,wind,y4,Head,false,Z_back
Portuguese,with,y4,Horizontal,true,X_left
Portuguese,woman,n1,Head,false,Y_down
Portuguese,wood,y2,Vertical,false,UNDEF
Portuguese,work,n0,Hand,false,Y_down
Portuguese,worm,n1,Horizontal,false,Z_front
Portuguese,year,n1,Hand,false,Y_up
Portuguese,yellow,y1,Lateral,false,Y_down
Japanese,all,y4,Horizontal,false,Z_front
Japanese,animal,y4,Horizontal,true,UNDEF
Japanese,bad,y1,Head,false,Y_down
Japanese,because,y1,Vertical,true,Z_front
Japanese,bird,y1,Head,false,UNDEF
Japanese,black,y4,Head,false,X_right
Japanese,blood,n1,Arm,false,Z_front
Japanese,boring,y1,Head,false,Z_back
Japanese,brother,n1,Vertical,true,Y_up
Japanese,bug,n1,Horizontal,false,X_left
Japanese,cat,y4,Head,false,UNDEF
Japanese,child,y4,Horizontal,false,X_right
Japanese,correct,y1,Torso,false,Y_up
Japanese,count,n3,Lateral,true,X_right
Japanese,dance,n2,Hand,false,UNDEF
Japanese,day,n4,Head,false,X_right
Japanese,die,y4,Lateral,true,UNDEF
Japanese,dog,y4,Head,true,UNDEF
Japanese,dry,y4,Horizontal,true,Y_up
Japanese,earth,y4,Lateral,true,Z_front
Japanese,egg,y4,Lateral,true,UNDEF
Japanese,father,n1,Head,false,Z_back
Japanese,fire,y4,Horizontal,false,Y_up
Japanese,fish,y4,Horizontal,false,Z_front
Japanese,flower,y4,Lateral,true,Z_front
Japanese,good,n0,Head,false,Z_front
Japanese,grass,y4,Vertical,true,X_right
Japanese,grease,y4,Head,false,Y_down
Japanese,green,y4,Vertical,true,X_right
Japanese,how,n1,Vertical,false,X_right
Japanese,husband,y0,Horizontal,false,X_right
Japanese,ice,y4,Hand,false,Z_front
Japanese,if,y1,Head,false,Y_down
Japanese,kill,n0,Vertical,true,Z_front
Japanese,laugh,y4,Lateral,true,X_right
Japanese,leaf,y1,Lateral,true,Y_up
Japanese,lie,y1,Head,false,Z_back
Japanese,live,y1,Vertical,true,Y_up
Japanese,long,y1,Lateral,true,X_right
Japanese,look_for,y1,Head,false,Y_down
Japanese,man,y0,Lateral,true,Z_front
Japanese,meat,y1,Horizontal,true,Z_front
